,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
/location/country/form_of_government,-0.15295574,1.0528183,-8.693451,-0.4030723,-0.63809496,-0.026307497,-0.5828548,1.3374898,-1.6972156,-0.97828245,-0.5181436,-0.6003887,-0.72873825,0.6060982,-2.4221294,-0.89816135,-0.18409424,1.2436364,-3.222519,1.7392101,0.35332307,0.8743973,0.58235365,1.3349617,1.4453229,-0.7755998,-1.2454118,-2.4625883,-0.09255064,-2.2896705,-0.5597658,2.8103986
/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,0.79715705,-0.95509344,-3.101389,-0.12734336,-0.45964584,-0.99808276,-0.06222758,-0.7408192,-0.5501687,-0.7307796,0.835587,-0.7297329,-0.68381375,-0.6610886,-2.471399,0.9242881,-0.39182413,-0.1385858,-0.1822072,-0.69767445,0.10199632,0.26615795,0.40409327,0.06544397,-0.6453888,-0.5202488,0.45303723,0.6492933,0.31599838,-0.18996656,0.43265465,-0.42445228
/media_common/netflix_genre/titles,1.0346617,-0.43669862,-1.580288,0.47176188,0.20015411,-1.2157345,0.4734827,0.46223477,0.056214754,-1.5018588,-0.73427117,-0.08924105,1.1355578,-0.2842087,-2.2736228,0.4600464,-0.18356735,0.22563387,0.84510076,-0.882249,-0.012621629,-0.00075429335,-0.2990709,2.2307196,0.69519365,2.2160704,0.59071875,-0.86514246,0.28779548,-0.25000018,-0.87790054,0.2553826
/award/award_winner/awards_won./award/award_honor/award_winner,0.96920574,-0.06793544,-2.8007495,0.13715973,0.0494673,1.2642778,1.0446769,1.0043693,0.94504535,-0.06385822,-0.8319363,1.121755,1.3135781,1.0413172,-3.535037,0.98324335,-0.25953305,0.35134375,-0.045007505,0.5612753,-2.1488717,-0.0035038495,0.11322235,-0.06904318,0.26881847,0.12145091,0.1581506,0.40060803,-0.023563042,-0.16464944,-0.10939177,0.4721905
/soccer/football_team/current_roster./sports/sports_team_roster/position,0.015397537,-0.47150064,-0.54840827,-0.29578075,-0.030826557,-0.28496557,-0.88393664,-1.0759017,-0.3719169,-0.8970968,0.52745295,0.08944806,-0.41732386,0.09065124,-4.4373965,-2.7325268,0.70531994,2.0664544,0.08868547,-2.1156864,-0.69644177,-0.6176621,2.4156764,0.025387563,1.9839144,3.7560606,0.61288697,-0.28708157,-0.27710205,0.37989205,-0.12247571,0.07090073
/soccer/football_team/current_roster./soccer/football_roster_position/position,0.5337324,0.052653193,-1.3926429,-0.09636146,1.0124598,-0.1405408,0.06393161,-0.9432157,0.060843185,-1.8634428,-0.9614634,-0.56356984,0.45348266,-0.40690225,-4.031137,-2.8501601,0.046047036,2.4050758,0.026826251,-0.7342807,-0.09073411,-0.32150954,1.162346,-1.3721218,1.6646835,3.0113099,1.1825162,0.7101036,0.7389039,0.11001478,-0.36865103,-0.7721357
/film/actor/film./film/performance/film,0.6007946,-0.69473237,-4.0300913,-0.40926903,0.3081365,-0.9547601,0.065508604,-0.5188555,-0.52715874,-1.1750758,-0.35864794,-0.6603228,-0.45557657,-0.5801787,-1.7993224,0.6928198,-0.45430467,-0.3532942,0.32540184,0.15088263,-1.9396951,0.33213523,-0.42256323,-0.019877983,0.30764621,0.63143927,0.42358926,0.07318346,0.3201495,0.074934155,0.108756796,0.59552276
/award/award_category/nominees./award/award_nomination/nominated_for,-0.92108065,0.29756653,-1.5161744,-0.3368273,-1.1913792,0.8312751,-0.29058662,-0.7346742,-0.996342,-0.9450067,-0.11215603,-0.367817,0.72385496,0.25541583,-2.511855,-0.6013841,0.058042843,-0.102382824,0.3108921,0.26940724,0.02598541,-0.025330443,-0.06851562,-0.3832039,-0.19063494,1.0689757,0.54157096,0.015549196,-0.24646224,-0.15253627,0.4481539,-0.70511657
/award/award_nominee/award_nominations./award/award_nomination/award_nominee,1.0014468,-0.11888537,-2.5860326,-0.5178463,-0.003893646,0.9299533,1.1003207,0.888503,1.0125316,0.6188098,-0.6942668,0.9944288,1.2313316,1.0357609,-3.5782762,1.4191406,0.3739686,0.09591107,-0.18607473,-0.12235487,-0.66952103,0.20954575,-0.2285034,0.08736334,-0.043002155,0.08749671,0.18492258,-0.0653398,-0.12331071,0.18896565,0.24028553,-0.17992316
/music/performance_role/regular_performances./music/group_membership/role,1.0758907,0.8092601,-0.55664784,0.7385108,0.27326623,-0.6091819,1.5857946,0.4926669,0.8311177,-0.61563873,-0.9197202,-0.43395275,0.24982977,-0.4846548,-3.9883156,-0.070828944,0.013746141,0.99314475,0.057893347,0.51285887,0.5004299,-0.03660035,0.34865248,0.04098411,1.7991962,1.5193012,0.45844555,0.22856157,-0.7308002,0.35553554,0.2533794,-0.3822413
/award/award_category/winners./award/award_honor/ceremony,0.7412603,-0.13419172,-0.0586071,-0.3082182,-0.77225596,0.32304874,-0.24032022,0.14143106,-1.2563173,-1.3091677,-0.16521217,-0.079599254,1.0595026,-1.4101732,-4.893891,-0.36941323,-0.4783952,0.2058979,0.13441426,-0.37633526,-0.5917356,-0.32568973,0.42081305,-0.1538633,0.18975507,-0.299804,-0.058221847,-0.2628612,0.055109233,0.87142223,0.110111535,-0.39332023
/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,-0.014352681,-0.9967164,1.2634461,-1.5068232,-0.663079,-0.0051098615,-1.5819004,-0.22590919,-1.6911021,-0.47541696,0.44664323,0.0585011,0.21091256,0.02686409,-5.2120976,-0.6523078,-0.7419364,-2.1753721,-0.045357637,3.8719,3.9473736,0.00500225,3.9415672,7.2685537,0.15897487,-2.6597607,9.20378,0.6782649,0.26326412,-0.3458511,-4.742428,3.6982546
/award/award_winning_work/awards_won./award/award_honor/award_winner,1.10805,-0.74619764,-4.3519335,0.19489756,0.7803661,-1.2921835,-0.39086995,-1.1089643,-1.3870062,-1.460071,0.0635239,-1.1277388,-1.1175447,-1.0920246,-3.0692618,0.8593449,-0.19919024,0.2741066,0.014102878,0.6297068,0.2054651,-0.12240737,0.3825172,0.28135052,-0.09021334,-0.3695006,0.961649,-0.29162124,-0.32005513,-0.16034432,-0.13227542,-0.32558128
/film/film/release_date_s./film/film_regional_release_date/film_release_region,0.041901108,-0.19464102,-0.48932645,-0.4214097,0.33439043,-0.15463571,-2.5539386,0.25463018,-0.16127957,-0.19162081,0.22345905,-0.15912278,-0.08542002,0.2117671,-3.114369,-0.16082463,-0.34714592,-0.69722825,-0.030239375,-2.7428012,-1.7512329,-0.0318926,0.10376191,-0.46727562,-0.10995454,-0.5427079,-0.81384856,-0.029557226,-0.67780364,-0.36679998,-0.20562236,-0.33401498
/film/film/language,0.011672809,-0.19609046,-1.2569693,0.44176084,-0.6033345,-0.7433781,0.8801814,-0.26402077,1.232231,-0.44356737,0.759839,0.20375362,0.215596,-0.13763905,-3.3271544,-0.5556444,0.70645,0.70842063,-0.37036,3.6915736,2.0845747,0.28980795,-1.9444715,-2.6631484,0.4739294,-0.38153306,2.9777732,0.2551388,-0.16028139,-0.76881725,-0.040042344,1.4109244
/location/location/contains,1.1588905,0.782104,-1.0761988,-0.03143446,-0.60839146,1.7653688,0.69998366,0.46927968,-0.60351384,-0.8015711,0.6144882,1.2663717,0.8535325,-0.47054172,-3.598234,0.7583703,0.117022485,-0.0103213955,-1.1480957,0.7178796,1.7802527,0.069360256,0.46506795,-0.42817336,-0.81367874,0.08732643,0.34245595,-0.4594794,0.24856855,-0.011128963,-0.26343516,0.34670657
/organization/organization/headquarters./location/mailing_address/country,-0.1495975,0.46188244,-0.749075,-1.3373518,-2.5007265,3.3598905,-0.11508799,0.43152088,-0.8079551,1.5691231,-0.2910783,2.1271687,0.49729407,-0.48913133,-7.6025195,-0.34395584,0.5839979,-5.740055,-1.2081568,-10.734377,-0.81597096,-0.40669897,-1.7437752,0.709311,2.6229851,-0.23967007,0.32274407,-3.0337925,0.5318197,0.974401,-0.45594466,-0.68453926
/people/person/profession,-0.87050116,0.88095486,-0.51252425,-0.115004405,-0.31584975,-0.45012763,0.66930354,0.5669924,-0.4238289,-2.1408937,0.4285996,0.28298032,-0.63403445,-0.27063107,-3.443705,-0.55894977,-0.2720756,0.5191016,-0.09441361,-4.6185536,-1.0039119,-0.12260035,0.17786588,-0.22593623,0.529189,0.81063634,0.02375505,0.52950263,-0.252204,-1.7099532,-0.18502322,-0.2773954
/location/statistical_region/religions./location/religion_percentage/religion,-0.2847897,-0.11779938,-2.645215,-0.99726385,-1.4285916,0.7782034,0.18126428,1.2415771,-0.69046754,-1.1693978,0.33048022,-1.7106748,-0.49426162,-0.68509376,-3.090145,-0.7609573,-0.8046232,-1.3137155,-0.9032274,-1.9057943,1.4743701,-1.0637343,1.1591742,-0.120895945,0.5889186,-1.4797057,-0.31257978,0.078674585,0.5767625,0.6096897,-2.2424023,-1.5400311
/award/award_nominee/award_nominations./award/award_nomination/award,-1.0346802,-0.9505255,-0.61163896,-0.36474565,-0.7571932,-0.72944415,0.58378506,0.72988427,0.7272887,0.8682486,-0.6748466,0.36847422,-0.9354826,-0.33076465,-4.2356606,-1.0284829,-0.018668197,-0.018208195,0.043054506,-1.539442,0.68180484,-0.39077458,0.4614799,-0.24582379,0.22559941,-0.0006901759,-0.1019723,0.13249128,0.049690127,-0.62340975,-0.11962539,-0.005515534
/music/genre/artists,-1.2280313,-0.7349846,-2.0434268,-0.50647366,-0.39411244,1.0958608,-0.5552894,-0.8674176,0.03196425,-1.1440368,0.15992568,-0.081230514,-1.1662091,-0.7019788,-2.2680926,-0.876794,0.46604982,-0.09560901,-0.20545468,0.771141,-0.05907797,0.008077861,0.21836287,0.112219594,-0.43587613,-0.28285587,-0.96809673,0.090262115,0.36179283,0.25731894,0.3306908,-0.081405655
/influence/influence_node/influenced_by,0.5268048,0.95212454,-2.3511739,-0.21858355,0.02722202,0.47043955,0.29465014,0.56816673,0.42377472,-0.4248169,0.3057676,-0.24744493,0.3862599,0.46571082,-2.5900726,0.59746736,0.48313525,0.046459068,-0.63096225,-1.2436715,1.5875349,-0.25138658,0.23696136,-0.359875,-1.5645276,-0.10568489,0.25116652,0.030916156,-0.44069374,-1.848341,-0.7240306,-0.45129997
/education/educational_institution/students_graduates./education/education/student,0.062808864,-0.85216826,-3.2221596,-0.04316813,-0.43094712,0.95115536,0.15405463,0.24681595,0.09564427,0.67442423,-0.08483954,-0.20368494,-0.5808456,-0.025172055,-1.9547986,-0.60116756,-0.31413278,-0.20092462,-0.36265785,0.32354796,-1.0921552,-0.2610268,0.14720339,-0.41629916,-0.3353332,-0.27020693,-0.25077525,-0.91087615,-0.35058424,0.38481477,0.42157882,-0.61037946
/organization/organization_member/member_of./organization/organization_membership/organization,0.68563646,-1.2299454,-5.2617764,-0.9738292,0.47012883,1.2766216,1.5435559,-0.13541459,0.74864084,-0.56222737,-0.32394573,1.0428295,-1.0608068,-1.5070418,-2.9502387,0.47355694,0.104416095,-0.7422079,1.0336025,-4.3734612,1.981274,0.09849451,0.043095,-3.2399523,1.3521566,-0.45659977,-1.1405683,-0.12930657,0.22968706,1.3414968,-0.53085417,2.7317796
/people/person/place_of_birth,-0.3211817,-0.66555476,-1.0113173,0.52803266,0.74370575,0.9982125,0.7332741,-0.5862096,0.54753524,-1.334333,0.4965915,-0.022077546,0.39370763,0.2576781,-3.1693544,0.66073895,-0.23954278,-0.25722435,0.001372485,-1.570898,0.55746,0.42965528,-0.15047832,-0.25449058,-0.022672905,0.47751316,0.26730865,1.119524,-0.29640755,0.18317454,-0.087025724,-0.6065333
/common/topic/webpage./common/webpage/category,0.35982764,0.06252561,0.69394195,-0.1110976,0.5052605,-0.25534698,0.041718137,0.039570138,0.53534114,-0.05250999,-0.29690084,-1.747382,-0.75984484,-0.0090649435,-7.537322,-0.083198,1.0948614,0.6661035,-0.033170436,-9.794324,3.7467237,0.08658713,-1.0027897,-0.8383943,2.7454143,0.42981586,-0.5625775,-0.24150518,-0.1193149,6.0440845,0.9882241,0.99378073
/film/film/other_crew./film/film_crew_gig/film_crew_role,-0.3255597,-0.2645316,0.5074051,-0.10047636,0.099922314,-0.17097686,-0.021948725,-0.22033973,-0.13843355,0.18158616,0.79685956,-0.17439032,0.40721366,0.20348516,-2.9220135,0.56806016,-0.6518226,-0.0031561672,-0.026453787,0.053338837,-1.6728919,-0.09123378,-0.24510567,0.42788228,-1.0406718,-0.20925833,-3.1406043,-0.12975977,0.31887445,1.1058247,-0.6715711,-1.3763711
